Date,Open,High,Low,Close,Volume
4/2/91,0.6161,0.6496,0.6116,0.6496,292924800
4/3/91,0.6473,0.6496,0.625,0.625,240128000
4/4/91,0.625,0.6429,0.6205,0.6384,168436800
4/5/91,0.6406,0.6406,0.6138,0.6194,155411200
4/8/91,0.6183,0.625,0.6138,0.625,72475200
4/9/91,0.6228,0.625,0.6094,0.6138,119448000
4/10/91,0.6116,0.6183,0.596,0.5971,216406400
4/11/91,0.6049,0.6373,0.6027,0.6339,355588800
4/12/91,0.6384,0.654,0.6228,0.6406,367718400
4/15/91,0.5513,0.5759,0.5357,0.5558,1700384000
4/16/91,0.5647,0.5759,0.558,0.5737,620782400
4/17/91,0.5804,0.5804,0.5536,0.5647,322403200
4/18/91,0.5603,0.5625,0.5424,0.5446,247363200
4/19/91,0.5446,0.5491,0.5313,0.5324,287302400
4/22/91,0.5313,0.5536,0.5246,0.5491,257017600
4/23/91,0.5558,0.5625,0.5379,0.5491,237294400
4/24/91,0.5513,0.5536,0.5402,0.5424,105448000
4/25/91,0.5335,0.5335,0.5223,0.5223,315380800
4/26/91,0.5223,0.5268,0.5156,0.5234,125059200
4/29/91,0.5223,0.5379,0.5201,0.5201,206707200
4/30/91,0.5156,0.5201,0.4866,0.4911,711446400
5/1/91,0.4286,0.4375,0.4196,0.4219,1868372800
5/2/91,0.4263,0.4442,0.4241,0.4375,811126400
5/3/91,0.4375,0.442,0.4308,0.4375,243712000
5/6/91,0.433,0.4509,0.4308,0.4487,212329600
5/7/91,0.4554,0.4576,0.4509,0.452,270480000
5/8/91,0.4531,0.4531,0.4397,0.4442,176780800
5/9/91,0.4464,0.4598,0.4442,0.4531,238212800
5/10/91,0.4598,0.4754,0.4531,0.4576,241729600
5/13/91,0.4665,0.4777,0.4598,0.471,244944000
5/14/91,0.471,0.4799,0.4688,0.4777,216944000
5/15/91,0.4598,0.4643,0.4375,0.4509,518347200
5/16/91,0.4554,0.4576,0.433,0.4375,382132800
5/17/91,0.4353,0.4353,0.4152,0.4196,471060800
5/20/91,0.4219,0.4241,0.3929,0.3951,262169600
5/21/91,0.404,0.4152,0.3996,0.404,349798400
5/22/91,0.4085,0.4152,0.4063,0.4129,227270400
5/23/91,0.4152,0.4174,0.3996,0.4029,208656000
5/24/91,0.4063,0.4107,0.4018,0.4096,97126400
5/28/91,0.4107,0.4129,0.404,0.4107,171438400
5/29/91,0.4129,0.4263,0.4096,0.4196,384003200
5/30/91,0.4196,0.4263,0.4152,0.4252,158345600
5/31/91,0.4241,0.4263,0.4129,0.4196,217862400
6/3/91,0.4196,0.442,0.4174,0.4397,220068800
6/4/91,0.442,0.442,0.433,0.4386,184284800
6/5/91,0.4397,0.4397,0.4263,0.4286,133291200
6/6/91,0.4308,0.4308,0.4152,0.4163,168504000
6/7/91,0.4129,0.4196,0.4074,0.4118,152745600
6/10/91,0.4107,0.4208,0.4085,0.4107,167440000
6/11/91,0.4018,0.4063,0.3951,0.3984,188563200
6/12/91,0.3929,0.3996,0.3683,0.3783,435635200
6/13/91,0.3795,0.3839,0.3728,0.3761,211366400
6/14/91,0.3817,0.3817,0.3638,0.3672,225288000
6/17/91,0.3661,0.3772,0.3661,0.375,166600000
6/18/91,0.3772,0.3862,0.3705,0.3761,244686400
6/19/91,0.3728,0.3772,0.3683,0.3728,178942400
6/20/91,0.3683,0.375,0.3638,0.375,144043200
6/21/91,0.375,0.3795,0.3728,0.375,206012800
6/24/91,0.3728,0.3772,0.3683,0.3728,207984000
6/25/91,0.375,0.3839,0.3728,0.3783,227920000
6/26/91,0.3817,0.3884,0.3772,0.3839,250443200
6/27/91,0.3795,0.3817,0.3728,0.3795,151200000
6/28/91,0.3772,0.3795,0.3594,0.3705,226643200
7/1/91,0.3772,0.3839,0.3728,0.3795,194824000
7/2/91,0.3772,0.3817,0.3728,0.3772,120142400
7/3/91,0.3772,0.3884,0.3728,0.385,310374400
7/5/91,0.3839,0.4107,0.3817,0.4074,331553600
7/8/91,0.404,0.4219,0.4018,0.4174,307081600
7/9/91,0.4219,0.4308,0.4152,0.4185,226441600
7/10/91,0.4241,0.4308,0.4174,0.4219,156576000
7/11/91,0.4196,0.4219,0.4107,0.4174,145913600
7/12/91,0.4219,0.4219,0.4129,0.4174,132753600
7/15/91,0.4174,0.4174,0.4063,0.4063,137984000
7/16/91,0.4063,0.4085,0.3884,0.3906,222992000
7/17/91,0.3884,0.3973,0.3772,0.3795,208936000
7/18/91,0.3929,0.4029,0.3839,0.4007,398316800
7/19/91,0.404,0.4129,0.4018,0.4107,128419200
7/22/91,0.4085,0.4129,0.4063,0.4107,108673600
7/23/91,0.4129,0.4152,0.3973,0.4018,133056000
7/24/91,0.404,0.4085,0.3973,0.4018,131454400
7/25/91,0.404,0.4085,0.4018,0.404,65800000
7/26/91,0.4085,0.4085,0.3996,0.4007,74233600
7/29/91,0.404,0.4063,0.3973,0.4063,53300800
7/30/91,0.4063,0.4174,0.4063,0.4152,91862400
7/31/91,0.4152,0.4185,0.4018,0.4129,102804800
8/1/91,0.4107,0.4397,0.4085,0.4386,448425600
8/2/91,0.4442,0.4487,0.4375,0.4464,273011200
