Date,Open,Low,Low,Close,Volume
10/29/19,88.7405,88.85,87.7905,88.1355,45538000
10/30/19,88.012,89.119,87.956,88.9995,48988000
10/31/19,88.7995,89.6,88.574,88.833,55624000
11/1/19,89.4005,89.8725,89.2605,89.572,55808000
11/4/19,90.0505,90.753,90.0505,90.233,55438000
11/5/19,90.458,90.5125,89.7,90.0855,37710000
11/6/19,90.05,90.125,89.429,89.7885,40596000
11/7/19,90.188,90.295,89.174,89.41,53022000
11/8/19,89.3945,89.494,88.702,89.294,42466000
11/11/19,88.9,89,88.3565,88.5825,38920000
11/12/19,88.733,89.311,88.5955,88.9,40752000
11/13/19,88.6695,88.75,87.366,87.6555,59790000
11/14/19,87.5715,88.3295,87.478,87.73,45296000
11/15/19,88.0025,88.084,86.643,86.9745,78552000
11/18/19,86.915,87.685,86.1355,87.6265,56790000
11/19/19,87.8495,88.034,87.1515,87.6395,45416000
11/20/19,87.457,88.126,86.706,87.2765,55800000
11/21/19,87.15,87.3435,86.518,86.7355,53258000
11/22/19,86.951,87.3215,86.55,87.286,49582000
11/25/19,87.6625,88.871,87.662,88.692,69724000
11/26/19,88.996,89.8515,88.9175,89.847,63624000
11/27/19,90.05,91.225,89.8655,90.9255,60512000
11/29/19,90.889,91.2345,90.0395,90.04,38468000
12/2/19,90.22,90.2775,88.134,89.08,78512000
12/3/19,88,88.6435,87.3615,88.498,67618000
12/4/19,88.7005,89.4545,88.011,88.0345,53402000
12/5/19,88.175,88.175,87,87.024,56476000
12/6/19,87.56,87.72,87.0065,87.58,62348000
12/9/19,87.533,88.3445,87.2805,87.4755,48856000
12/10/19,87.37,87.5335,86.75,86.9605,50286000
12/11/19,87.0835,87.5,86.7855,87.436,41952000
12/12/19,87.5,88.2,87.272,88.0165,61918000
12/13/19,88.25,88.4495,87.75,88.047,54914000
12/16/19,88.35,88.475,87.8525,88.4605,62904000
12/17/19,88.9005,89.6,88.8695,89.533,72888000
12/18/19,89.751,89.91,89.118,89.2015,67028000
12/19/19,89.025,89.6495,88.703,89.614,53056000
12/20/19,89.981,90.1485,89.1225,89.325,103016000
12/23/19,89.413,89.65,89.2255,89.65,42728000
12/24/19,89.6905,89.7785,89.379,89.4605,17626000
12/26/19,90.0505,93.523,89.975,93.4385,120108000
12/27/19,94.146,95.07,93.3005,93.49,123732000
12/30/19,93.7,94.2,92.031,92.3445,73494000
12/31/19,92.1,92.663,91.6115,92.392,50130000
1/2/20,93.75,94.9005,93.2075,94.9005,80580000
1/3/20,93.225,94.31,93.225,93.7485,75288000
1/6/20,93,95.1845,93,95.144,81236000
1/7/20,95.225,95.6945,94.602,95.343,80898000
1/8/20,94.902,95.55,94.322,94.5985,70160000
1/9/20,95.4945,95.891,94.79,95.0525,63346000
1/10/20,95.2685,95.347,94,94.158,57074000
1/13/20,94.5655,94.9,94.04,94.565,55616000
1/14/20,94.294,94.3555,92.9275,93.472,68818000
1/15/20,93.6125,93.943,92.7545,93.101,57932000
1/16/20,94.1495,94.2795,93.301,93.897,53190000
1/17/20,94.2945,94.332,92.8625,93.236,79946000
1/21/20,93.25,94.7135,93,94.6,74156000
1/22/20,94.8045,95.125,94.167,94.373,64326000
1/23/20,94.2555,94.499,93.638,94.229,49692000
1/24/20,94.5685,94.7495,92.372,93.082,75324000
1/27/20,91,92.05,90.767,91.417,70570000
1/28/20,92.025,92.9055,91.501,92.6625,56160000
1/29/20,93.2,93.7375,92.751,92.9,41760000
1/30/20,92.9,93.6435,92.5305,93.534,126548000
1/31/20,102.5735,102.786,100.1135,100.436,311346000
2/3/20,100.53,102.425,100.0125,100.21,117834000
2/4/20,101.494,102.99,100.7685,102.4835,105786000
2/5/20,103.551,103.551,101.6,101.9935,87524000
2/6/20,102.051,102.815,101.24,102.5115,63660000
2/7/20,102.0995,104.9265,101.905,103.964,101906000
2/10/20,104.2505,106.78,104.248,106.6955,101124000
2/11/20,107.545,109.2975,106.8,107.54,114920000
2/12/20,108.16,109.0125,107.7645,108,66686000
2/13/20,107.2495,108.514,107.1,107.4935,60636000
2/14/20,107.784,107.952,106.2945,106.7435,52124000
2/18/20,106.251,108.3035,106.2055,107.7835,58912000
2/19/20,108.39,109.255,108.056,108.511,51224000
2/20/20,108.6535,108.8395,106.3725,107.655,62626000
2/21/20,107.1075,107.2275,104.4,104.7985,92926000
2/24/20,100.159,101.965,99.3985,100.4645,130940000
2/25/20,101.321,101.73,97.921,98.637,124382000
2/26/20,98.514,100.7335,98.0225,98.9795,104492000
2/27/20,96.719,98.75,94.138,94.215,162880000
2/28/20,90.7315,94.488,90.5565,94.1875,189620000
3/2/20,95.3245,97.7255,93.5,97.6975,135234000
3/3/20,98.7685,99.8165,94.4045,95.4495,150690000
3/4/20,97.3285,98.9,96.1,98.7915,95458000
3/5/20,96.65,98.036,95.5,96.2015,94964000
3/6/20,93.75,95.5435,93.475,95.0545,105472000
3/9/20,88.693,93.1385,88.0645,90.0305,156264000
3/10/20,93.544,94.7135,90.9085,94.591,142666000
3/11/20,92.8925,93.566,90.075,91.043,112496000
3/12/20,86.099,88.25,83.75,83.8305,226924000
3/13/20,87.75,89.3155,84.031,89.25,176194000
3/16/20,82.0755,87.9725,81.3015,84.4575,178346000
3/17/20,88.7735,92.889,84.462,90.392,218342000
3/18/20,87.5,92.083,87.25,91.5,192904000
3/19/20,93,97.25,91.6325,94.0465,207998000
3/20/20,96.3155,97.85,91.0365,92.3045,196358000
3/23/20,91.3875,95.97,90.6,95.1415,156170000
3/24/20,97.575,97.75,95.017,97.005,142942000
3/25/20,96.0345,97.513,94.289,94.292,129582000
3/26/20,95.1,97.8245,94.4645,97.7745,124426000
3/27/20,96.543,96.9895,94.996,95.005,107758000
3/30/20,96.1415,98.6815,95.617,98.1975,122522000
3/31/20,98.2175,99.651,97.2005,97.486,102472000
4/1/20,96.6485,97.248,94.65,95.385,82438000
4/2/20,95.082,96.3765,94.5,95.9415,86720000
4/3/20,95.5575,96.3165,94.4575,95.3295,72198000
4/6/20,96.8,99.926,96.501,99.8795,115464000
4/7/20,100.8555,101.786,99.881,100.58,102280000
4/8/20,101.05,102.2,100.5575,102.15,79546000
4/9/20,102.215,102.65,100.883,102.138,92930000
4/13/20,102,109,101.9,108.4435,134334000
4/14/20,110.0235,114.6,109.3105,114.166,161744000
4/15/20,112.884,116.6685,112.25,115.384,137332000
4/16/20,117.3,123.05,116.75,120.4095,240764000
4/17/20,118.6165,120,115.801,118.75,158600000
4/20/20,119.4975,122.249,119.3025,119.6805,115414000
4/21/20,120.8305,121.4155,113.983,116.406,149534000
4/22/20,118.45,119.7,117.55,118.1745,84244000
4/23/20,119.999,121.211,119.104,119.9725,101332000
4/24/20,120.85,121.0215,119.1,120.511,76498000
4/27/20,122.16,122.244,118.15,118.8,112912000
4/28/20,118.605,118.675,115.3,115.704,105388000
4/29/20,116.5005,119.5945,115.5,118.6355,91832000
4/30/20,120.992,123.75,119.8005,123.7,190692000
5/1/20,116.84,118.122,112.9095,114.302,195452000
5/4/20,112.819,116.349,112.819,115.7995,97318000
5/5/20,117,117.55,115.3565,115.89,64850000
5/6/20,116.472,117.8725,116,117.563,62356000
5/7/20,118.739,118.8,117.1555,118.3805,67928000
5/8/20,118.607,119.362,117.85,118.9805,64132000
5/11/20,118.735,120.9835,118.6055,120.45,65184000
5/12/20,120.5925,120.95,117.75,117.8475,61498000
5/13/20,118.34,120.385,116.89,118.396,95658000
5/14/20,118.0505,119.5685,117.6605,119.4425,72962000
5/15/20,118.426,120.55,117.8185,120.489,84700000
5/18/20,120.2175,121.65,119.2005,121.313,87144000
5/19/20,121.4915,124.25,121.4485,122.4665,86410000
5/20/20,123.8935,125.0005,123.3635,124.897,79962000
5/21/20,125,126.2725,122.127,122.337,102288000
5/22/20,122.7505,123.4925,121.5065,121.844,57342000
5/26/20,122.9,123.1,120.703,121.093,71364000
5/27/20,120.2495,120.679,116.5,120.5195,101138000
5/28/20,119.2165,121.8485,118.9115,120.055,63804000
5/29/20,120.797,122.1185,119.91,122.1185,70198000
6/1/20,122.4,123.8465,122.2085,123.552,58578000
6/2/20,123.35,123.6765,122.2655,123.6205,50598000
6/3/20,123.4005,124.4,123.0585,123.92,53420000
6/4/20,123.8715,125.377,122.5005,123.03,58974000
6/5/20,122.2255,124.4325,121.8565,124.15,66128000
6/8/20,125.01,126.5,124.367,126.203,79414000
6/9/20,126.472,131.3215,126.25,130.043,103520000
6/10/20,132.25,136.1175,131.313,132.3725,98920000
6/11/20,130.175,133.569,126.8115,127.898,116002000
6/12/20,130.0605,131.074,125.1675,127.251,108722000
6/15/20,126.33,129.2,125.4,128.634,77302000
6/16/20,131,131,128.8,130.7635,71712000
6/17/20,132.375,132.75,131.591,132.049,59186000
6/18/20,132.3505,132.982,131.8055,132.699,49756000
6/19/20,133.904,134.8715,132.95,133.7505,115540000
6/22/20,134.225,135.75,133.45,135.691,64176000
6/23/20,136.301,139.1555,135.902,138.2205,84634000
6/24/20,139,139.8,136.05,136.72,90532000
6/25/20,136.9775,137.8115,135.607,137.729,59374000
6/26/20,138.753,139.1285,134.4,134.6435,130016000
6/29/20,134.5005,134.84,131.504,134.019,84468000
6/30/20,134.2535,138.4815,133.7515,137.941,75394000
7/1/20,137.8995,144.75,137.7,143.935,127268000
7/2/20,145.6005,147.778,143.555,144.515,131868000
7/6/20,146.7485,152.994,146.5,152.852,137612000
7/7/20,152.9275,153.4775,149.5,150.006,105150000
7/8/20,151.1305,154.1985,150.6215,154.0555,100752000
7/9/20,155.7995,159.694,153.7,159.1315,127774000
7/10/20,159.588,160.75,156.785,160,109720000
7/13/20,162.553,167.2145,153.4195,155.2,154408000
7/14/20,154.45,156.369,147.5,154.2,144638000
7/15/20,154.0115,154.9175,148.659,150.4435,115778000
7/16/20,148.553,151.6,145.9115,149.995,127884000
7/17/20,150.45,151.2,147.4225,148.0985,95226000
7/20/20,150.01,160.068,149.701,159.842,151964000
7/21/20,161.6245,162.029,155.286,156.9145,122426000
7/22/20,156.25,157.5,153.263,154.9955,82084000
7/23/20,154.9135,154.9135,148.5,149.3275,113138000
7/24/20,146.5,151.579,144.4,150.4455,112648000
7/27/20,153.1,154.9,150.7885,152.7605,83410000
7/28/20,152.7135,153.8545,149.788,150.0165,62534000
7/29/20,151.5495,151.958,149.8385,151.6765,59482000
7/30/20,150.7,154.6,150.25,152.594,122566000
7/31/20,162.2,162.341,157.55,158.234,161710000
8/3/20,159.0255,159.2,155.2,155.5945,101494000
8/4/20,155.0605,158.362,155.0605,156.9415,93886000
8/5/20,157.1885,160.6795,156.365,160.2515,78330000
8/6/20,159.718,162.3735,158.2715,161.25,78812000
8/7/20,161.2005,162.0405,157.0335,158.373,78722000
8/10/20,158.5155,158.6255,155.076,157.408,63346000
8/11/20,155.66,157.961,153.65,154.0335,74362000
